player_id,finishing,dribbling,acceleration,sprint_speed,positioning,shot_power,short_passing,long_passing,vision,dribbling,crossing,ball_control,marking,standing_tackle,sliding_tackle,interceptions,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,date,FIFA_rating,Position
26552,40.0,59.0,55.0,57.0,40.0,29.0,63.0,54.0,55.0,59.0,36.0,64.0,84.0,85.0,84.0,85.0,7.0,11.0,16.0,10.0,6.0,2015-10-23,84,Defender
31013,82.0,81.0,95.0,96.0,79.0,76.0,77.0,65.0,74.0,81.0,78.0,80.0,27.0,33.0,36.0,31.0,11.0,8.0,9.0,9.0,8.0,2015-09-21,84,Attacker
30889,56.0,77.0,32.0,33.0,77.0,81.0,92.0,93.0,88.0,77.0,79.0,84.0,70.0,77.0,71.0,86.0,7.0,8.0,10.0,10.0,10.0,2015-09-21,84,Midfielder
178955,34.0,47.0,65.0,67.0,29.0,43.0,67.0,69.0,41.0,47.0,35.0,68.0,86.0,82.0,84.0,85.0,14.0,13.0,14.0,13.0,12.0,2015-10-16,84,Defender
32569,34.0,74.0,79.0,77.0,61.0,75.0,75.0,69.0,62.0,74.0,80.0,75.0,81.0,84.0,87.0,85.0,3.0,5.0,5.0,5.0,3.0,2015-12-03,84,Defender
26181,76.0,86.0,82.0,79.0,81.0,75.0,86.0,77.0,85.0,86.0,81.0,88.0,35.0,37.0,44.0,37.0,1.0,1.0,1.0,1.0,1.0,2015-10-16,84,Midfielder
40945,75.0,87.0,86.0,82.0,79.0,85.0,81.0,83.0,82.0,87.0,82.0,86.0,15.0,22.0,20.0,31.0,5.0,10.0,13.0,6.0,6.0,2015-12-17,84,Midfielder
30865,26.0,43.0,49.0,54.0,20.0,56.0,57.0,57.0,44.0,43.0,34.0,58.0,85.0,85.0,82.0,84.0,11.0,4.0,13.0,7.0,5.0,2015-11-26,84,Defender
41157,81.0,87.0,87.0,86.0,80.0,80.0,73.0,71.0,70.0,87.0,74.0,85.0,21.0,28.0,23.0,28.0,6.0,9.0,11.0,7.0,5.0,2015-11-06,84,Attacker
38433,68.0,80.0,74.0,68.0,76.0,76.0,88.0,86.0,87.0,80.0,80.0,87.0,58.0,68.0,68.0,70.0,5.0,4.0,10.0,8.0,7.0,2015-12-03,84,Midfielder
